dokument_index,dichte
134,0.4018058691
135,0.3828715365
136,0.3782312925
137,0.4031531532
138,0.4246987952
139,0.3724410172
140,0.3918999404
141,0.3866666667
142,0.4186746988
143,0.4459783914
144,0.4070701660
145,0.4675925926
146,0.3218562874
147,0.4203083617
148,0.4047829938
149,0.4476635514
150,0.4027777778
151,0.4556451613
152,0.4299666508
153,0.4287764621
154,0.4347826087
155,0.3906020558
156,0.3982664234
157,0.4018404908
158,0.4216867470
159,0.4148506860
160,0.4812450120
161,0.3914807302
162,0.4076655052
163,0.4583513164
164,0.4128576737
165,0.4291748803
166,0.4059736359
167,0.3717171717
168,0.4200000000
169,0.4253611557
170,0.4280510018
171,0.3813306852
172,0.3657718121
173,0.4319955407
174,0.4351039261
175,0.3948671769
176,0.4041405874
177,0.4411134904
178,0.4111455108
179,0.4109589041
180,0.4194165471
181,0.4286935157
182,0.4086223055
183,0.3855693348
184,0.4175443876
185,0.4700854701
186,0.4152249135
187,0.3801948698
188,0.4250825083
189,0.4463971880
190,0.3746366279
191,0.4268032437
192,0.3798155182
193,0.4259259259
194,0.3605095541
195,0.3617747440
196,0.4250681199
197,0.4435967302
198,0.3716517857
199,0.3692946058
200,0.4081041968
201,0.4496527778
202,0.4446126672
203,0.3998775260
204,0.4362606232
205,0.3717080512
206,0.4079238388
207,0.3923497268
208,0.3887222555
209,0.4353741497
210,0.4213333333
211,0.4197578444
212,0.4196428571
213,0.4380321665
214,0.3729903537
215,0.4050067054
216,0.4135876043
217,0.3932635412
218,0.3895027624
219,0.4212548015
220,0.4646860987
221,0.3719887955
222,0.4456521739
223,0.4140786749
224,0.3974995404
225,0.3989690722
226,0.4056977051
227,0.3382078407
228,0.4154795821
229,0.4022801303
230,0.4052044610
231,0.5164193627
232,0.4196478267
233,0.4200298954
234,0.4135678392
235,0.3937007874
236,0.4226804124
237,0.4011350060
238,0.4724014337
239,0.3860579240
240,0.4127659574
241,0.3789868668
242,0.4650283554
243,0.3945852535
244,0.3846153846
245,0.5035765379
246,0.4462151394
247,0.3838383838
248,0.3901234568
249,0.3549946294
250,0.3965798046
251,0.4520341537
252,0.4000000000
253,0.3722627737
254,0.4888888889
255,0.4319890636
256,0.4156123822
257,0.4145088808
258,0.3785572469
259,0.3924731183
260,0.4130575307
261,0.4016709512
262,0.3726298434
263,0.3768464445
264,0.3888888889
265,0.4370370370
266,0.4173584906
267,0.4129870130
268,0.3884462151
269,0.3921221509
270,0.4140845070
271,0.3365949119
272,0.4146427314
273,0.3397037745
274,0.4226646248
275,0.4119718310
276,0.4260089686
277,0.4104729730
278,0.4230585993
279,0.4035502959
280,0.3953947368
281,0.4136481889
282,0.3911408549
283,0.3821399839
284,0.3846153846
285,0.4432855280
286,0.3933054393
287,0.3910917979
288,0.4278688525
289,0.4250960307
290,0.4338153504
291,0.4190177638
292,0.3661784288
293,0.3949843260
294,0.3758700696
295,0.4244235696
296,0.4244532803
297,0.4092526690
298,0.4059717129
299,0.4066317627
300,0.4326140785
301,0.4205801105
302,0.4162561576
303,0.4423868313
304,0.3923444976
305,0.4150197628
306,0.3989196252
307,0.4090046794
308,0.3810032017
309,0.4082330213
310,0.4601837672
311,0.4290147401
312,0.3923404255
313,0.4665427509
314,0.4220532319
315,0.4108873975
316,0.4267100977
317,0.4528521537
318,0.4922600619
319,0.4504000000
320,0.4186915888
321,0.3970000000
322,0.4331210191
323,0.4054054054
324,0.4380089809
325,0.3642105263
326,0.4045881126
327,0.3960244648
328,0.3441872982
329,0.4250474383
330,0.4190632703
331,0.4718614719
332,0.4312638581
333,0.4216194655
334,0.4280024510
335,0.4190418435
336,0.4028144239
337,0.3989769821
338,0.3896713615
339,0.3943462898
340,0.4452736318
341,0.4168937330
342,0.4841824419
343,0.3985629755
344,0.3887086308
345,0.4088050314
346,0.3962264151
347,0.4049466537
348,0.4671916010
349,0.4274725775
350,0.4212020823
351,0.3845386534
352,0.3844363153
353,0.4231946695
354,0.3979941292
355,0.4353741497
356,0.4651763716
357,0.4165745856
358,0.4147952444
359,0.4053030303
360,0.3972206138
361,0.3550724638
362,0.3885350318
363,0.4179487179
364,0.4033953112
365,0.4641880809
366,0.4371584699
367,0.4071958881
368,0.3828337875
369,0.3600000000
370,0.3046683047
371,0.3927091964
372,0.4003044140
373,0.4146341463
374,0.4049930652
375,0.4215696101
376,0.4235588972
377,0.3857388316
378,0.4273872679
379,0.3903435218
380,0.4427244582
381,0.3873563218
382,0.4189944134
383,0.4072398190
384,0.3734729494
385,0.4086700337
386,0.3995145631
387,0.4113756614
388,0.3856502242
389,0.4086727989
390,0.4063157895
391,0.3854970245
392,0.4330775789
393,0.3978723404
394,0.4119769120
395,0.3750000000
396,0.4287856072
397,0.3923006867
398,0.4144736842
399,0.4369170349
400,0.4300000000
401,0.4032411821
402,0.3787558189
403,0.4241982507
404,0.4215219976
405,0.4122055675
406,0.3904220779
407,0.4158249158
408,0.4230769231
409,0.4025974026
410,0.3724770642
411,0.3454749229
412,0.3691796009
413,0.4455696203
414,0.3971428571
415,0.3910287665
416,0.4199384142
417,0.4170616114
418,0.4162702969
419,0.4332810047
420,0.4003202562
421,0.4037974684
422,0.4384303112
423,0.3932806324
424,0.4015280136
425,0.4300405111
426,0.4082186347
427,0.3950914341
428,0.3952270081
429,0.3536121673
430,0.4021381579
431,0.4444444444
432,0.4191802011
433,0.3857847165
434,0.3796992481
435,0.4316939891
436,0.4720077220
437,0.4126984127
438,0.3971631206
439,0.4517045455
440,0.3980309423
441,0.4161692892
442,0.4187725632
443,0.3941841680
444,0.4337748344
445,0.3489461358
446,0.4087722452
447,0.3948562784
448,0.3956170073
449,0.4241435563
450,0.4167822469
451,0.4283054004
452,0.3949483352
453,0.3504424779
454,0.4249485949
455,0.4282584885
456,0.4320050601
457,0.4187387387
458,0.4127126231
459,0.3773584906
460,0.4533551555
461,0.4045307443
462,0.3998532649
463,0.4306326304
464,0.3876651982
465,0.4293478261
466,0.4601769912
467,0.4174757282
468,0.4004683841
469,0.3724696356
470,0.4093082115
471,0.4085616438
472,0.3492063492
473,0.3906179522
474,0.3644067797
475,0.4115815691
476,0.4410576570
477,0.3653136531
478,0.4106886657
479,0.4094955490
480,0.4000000000
481,0.4337899543
482,0.4094243792
483,0.4216154721
484,0.4071969697
485,0.4077079108
486,0.4064885496
487,0.4090909091
488,0.4204685573
489,0.4690382082
490,0.3586448598
491,0.4576856649
492,0.3994169096
493,0.4171286031
494,0.4009060023
495,0.3825824551
496,0.4137142857
497,0.4226393629
498,0.4176632935
499,0.4126074499
500,0.3989501312
501,0.4510712218
502,0.3698830409
503,0.4125874126
504,0.3795455615
505,0.3492647059
506,0.4345749761
507,0.4092307692
508,0.4055727554
509,0.4320388350
510,0.4132855256
511,0.4186991870
512,0.4175531915
513,0.4193657220
514,0.4162269129
515,0.3826086957
516,0.4001816150
517,0.3416927900
518,0.3857350801
519,0.3724340176
520,0.4029003783
521,0.4195624196
522,0.4321533923
523,0.4212461030
524,0.4014167651
525,0.4308700834
526,0.4274028630
527,0.3878986100
528,0.4264780192
529,0.3711711712
530,0.4104803493
531,0.3516998828
532,0.4329501916
533,0.4244767971
534,0.4419970631
535,0.4135971374
536,0.4010484928
537,0.4327981238
538,0.4024084295
539,0.3840665874
540,0.3968673335
541,0.4437706725
542,0.3956250000
543,0.3944844125
544,0.3770380435
545,0.3907172996
546,0.4797979798
547,0.4124700240
548,0.3966033966
549,0.4785668586
550,0.3856858847
551,0.4573991031
552,0.3916500994
553,0.3865470852
554,0.4227129338
555,0.3691756272
556,0.3832167832
557,0.4451827243
558,0.3768796992
559,0.4129275031
560,0.4193735499
561,0.3926174497
562,0.4309419229
563,0.3948296122
564,0.4064386318
565,0.2884473878
566,0.4521072797
567,0.3915789474
568,0.4825964252
569,0.3924369748
570,0.4311094996
571,0.3915525114
572,0.4022606383
573,0.3715277778
574,0.3700495050
575,0.3862179487
576,0.4367726920
577,0.4102426599
578,0.4079136691
579,0.4175704989
580,0.4365079365
581,0.4201424212
582,0.3719298246
583,0.4005747126
584,0.4185520362
585,0.4301020408
586,0.4448529412
587,0.4196675900
588,0.3548009368
589,0.3954797048
590,0.4226506024
591,0.3619817998
592,0.3784273151
593,0.4286684783
594,0.3610294118
595,0.4585414585
596,0.3657142857
597,0.4808080808
598,0.4042063753
599,0.3750000000
600,0.3307406155
601,0.4427312775
602,0.3835849976
603,0.3966942149
604,0.4294117647
605,0.4206241520
606,0.4101315149
607,0.3972055888
608,0.4256694367
609,0.3630470016
610,0.4009740260
611,0.4382336501
612,0.3959798995
613,0.4355195284
614,0.4603134157
615,0.4076116933
616,0.4557251908
617,0.4344262295
618,0.4272409779
619,0.4243697479
620,0.5127118644
621,0.3939393939
622,0.3651011313
623,0.4632867133
624,0.4237623762
625,0.4123408423
626,0.4122541604
627,0.4323671498
628,0.3737201365
629,0.3865030675
630,0.3911980440
631,0.4001183432
632,0.4120684092
633,0.4128492412
634,0.4069565217
635,0.4015416959
636,0.3928046990
637,0.3953488372
638,0.3986155177
639,0.3851485149
640,0.3972438586
641,0.4472769409
642,0.4026490066
643,0.3977827051
644,0.3970736630
645,0.4197368421
646,0.3788085493
647,0.4012345679
648,0.4425981873
649,0.4067127345
650,0.4674726540
651,0.3753046304
652,0.4294324460
653,0.3931962025
654,0.3953646898
655,0.3603238866
656,0.4289940828
657,0.4184704185
658,0.3691460055
659,0.3910186199
660,0.3704052780
661,0.4375000000
662,0.3947730399
663,0.3879598662
664,0.4049266538
665,0.4121715076
666,0.4318181818
667,0.4144518272
668,0.4346504559
669,0.4183397143
670,0.3993480033
671,0.4041116907
672,0.3719912473
673,0.4482475917
674,0.3722334004
675,0.3934010152
676,0.3954451346
677,0.3679245283
678,0.4367816092
679,0.3893996755
680,0.3863388894
681,0.4193037975
682,0.3923631032
683,0.3993621545
684,0.3890160183
685,0.4292114695
686,0.4174541412
687,0.4252418646
688,0.4150087260
689,0.4166374166
690,0.4219878648
691,0.3885135135
692,0.3717848792
693,0.4206063008
694,0.3623931624
695,0.4136037178
696,0.4141274238
697,0.3904528764
698,0.3952830189
699,0.4345323741
700,0.3867678713
701,0.4690909091
702,0.3745819398
703,0.4282905907
704,0.4283646889
705,0.4063004847
706,0.2970749543
707,0.3780207135
708,0.4251918159
709,0.3981945838
710,0.4066130474
711,0.4115555556
712,0.4750957854
713,0.3697478992
714,0.4279441118
715,0.4081858407
716,0.3927048792
717,0.4259259259
718,0.4287330317
719,0.4203980100
720,0.3667687596
721,0.3369175627
722,0.3943418014
723,0.4416666667
724,0.4285714286
725,0.4143370432
726,0.3401297498
727,0.3869047619
728,0.4241466498
729,0.4120234604
730,0.4244663383
731,0.4061845197
732,0.4171584980
733,0.4225804420
734,0.4539325843
735,0.4042879020
736,0.4188347380
737,0.3910788382
738,0.4636459431
739,0.4428399519
740,0.4247104247
741,0.4594726562
742,0.4364840458
743,0.3921719110
744,0.4352941176
745,0.4149089166
746,0.3532641855
747,0.4402692092
748,0.4066237351
749,0.4488697524
750,0.4099453406
751,0.3832271762
752,0.4115822130
753,0.3652743653
754,0.4014705882
755,0.4958890031
756,0.4256329114
757,0.3723577236
758,0.4105960265
759,0.3919413919
760,0.3940886700
761,0.4325955734
762,0.4174135723
763,0.3913043478
764,0.4051012753
765,0.3947190251
766,0.3369565217
767,0.4342688331
768,0.4199029126
769,0.3552361396
770,0.3215767635
771,0.4035234899
772,0.4189364462
773,0.3864024599
774,0.4037553277
775,0.4228716645
776,0.3935116916
777,0.4083503055
778,0.4162929746
779,0.4111649248
780,0.4184184184
781,0.4483695652
782,0.3813229572
783,0.3845628415
784,0.3597352690
785,0.4241563055
786,0.4026387625
787,0.4151724138
788,0.4563699825
789,0.4264516129
790,0.4069861246
791,0.4139840520
792,0.3957446809
793,0.3565998618
794,0.4417266187
795,0.4111232279
796,0.4296407186
797,0.4288064802
798,0.4272388060
799,0.3982074264
800,0.3894496286
801,0.3848837209
802,0.3811305071
803,0.4217687075
804,0.4217446098
805,0.4055354994
806,0.3943781942
807,0.4057486631
808,0.3500000000
809,0.4169543716
810,0.3980093071
811,0.4515625000
812,0.4008813654
813,0.4448529412
814,0.4066444629
815,0.5220804711
816,0.4308943089
817,0.4106230848
818,0.3803380783
819,0.4073083779
820,0.4063116371
821,0.3896713615
822,0.3988703020
823,0.4227555826
824,0.4121976866
825,0.4142384106
826,0.4204946996
827,0.4525329928
828,0.3631647211
829,0.3921508975
830,0.4164458774
831,0.4966824645
832,0.4003649159
833,0.3693045564
834,0.4206842924
835,0.4093423479
836,0.4381949517
837,0.4315890542
838,0.3667296786
839,0.4109848485
840,0.3609022556
841,0.3775609756
842,0.4118343195
843,0.4335937500
844,0.4128738622
845,0.3983844911
846,0.4217335058
847,0.4023372287
848,0.4009406232
849,0.3345864662
850,0.4129267025
851,0.3715415020
852,0.4000994036
853,0.4216867470
854,0.3876454790
855,0.3731574864
856,0.4343317972
857,0.3943298969
858,0.4476885645
859,0.4184261036
860,0.4035689774
861,0.4068493151
862,0.3972602740
863,0.4413024850
864,0.3700384123
865,0.4921465969
866,0.3539682540
867,0.4386467890
868,0.3796095445
869,0.4063116371
870,0.4308510638
871,0.4059351277
872,0.4413407821
873,0.4282584885
874,0.3767880364
875,0.4190839695
876,0.4171891892
877,0.3998226950
878,0.4235807860
879,0.4097250168
880,0.3974056604
881,0.4086956522
882,0.4169122512
883,0.4400564175
884,0.3933067562
885,0.4399371892
886,0.4321131258
887,0.4321728691
888,0.4042335018
889,0.3935742972
890,0.4304635762
891,0.4073033708
892,0.4328767123
893,0.4615384615
894,0.4262114537
895,0.4146591492
896,0.4504919073
897,0.4517745303
898,0.4049747377
899,0.4132420091
900,0.4303656154
901,0.4167393200
902,0.4237288136
903,0.4825870647
904,0.4105501751
905,0.4079110012
906,0.4277146465
907,0.4315577020
908,0.4342857143
909,0.4393530997
910,0.3666666667
911,0.3841642229
912,0.4242199108
913,0.3940493469
914,0.4060388669
915,0.4107142857
916,0.3871206514
917,0.4072483221
918,0.4189189189
919,0.4076715803
920,0.3909090909
921,0.3850974930
922,0.4433399602
923,0.3813953488
924,0.5022624434
925,0.4308510638
926,0.4127272727
927,0.4369063772
928,0.3997884717
929,0.4413706740
930,0.4575835476
931,0.4491475603
932,0.4456902593
933,0.3922077922
934,0.3822597677
935,0.4110169492
936,0.3922472215
937,0.3786191537
938,0.4092140921
939,0.4156431803
940,0.3836246550
941,0.4321329640
942,0.4063561378
943,0.3944352435
944,0.4090443935
945,0.3893805310
946,0.4384816754
947,0.4262465374
948,0.3825363825
949,0.4346754314
950,0.3667232598
951,0.3803706824
952,0.3933865450
953,0.4709976798
954,0.3716258632
955,0.3660079051
956,0.4016168813
957,0.4119850187
958,0.4260204082
959,0.3967861557
960,0.4297370807
961,0.4036809816
962,0.3173537872
963,0.4102726696
964,0.3310810811
965,0.4389288047
966,0.4210691824
967,0.3663177926
968,0.3665893271
969,0.4022801303
970,0.4115646259
971,0.3805732484
972,0.3827493261
973,0.4137931034
974,0.4337349398
975,0.4114544084
976,0.3399503722
977,0.4003350084
978,0.3806921676
979,0.4329501916
980,0.4029587661
981,0.4137022398
982,0.3788121990
983,0.3865406007
984,0.3950000000
985,0.4238410596
986,0.4264550265
987,0.3781749765
988,0.4220050670
989,0.3930555556
990,0.4077940153
991,0.3960629921
992,0.3857493857
993,0.3967911139
994,0.4072433559
995,0.3832528180
996,0.3978746616
997,0.4179455274
998,0.3940963231
999,0.4000000000
1000,0.4030612245
1001,0.4128908743
1002,0.3726235741
1003,0.4146017045
1004,0.3940789474
1005,0.4333672431
1006,0.4168190128
1007,0.4054054054
1008,0.3848797251
1009,0.4335532516
1010,0.4626690182
1011,0.4524404086
1012,0.4401805869
1013,0.5431309904
1014,0.4052287582
1015,0.3979057592
1016,0.4167550371
1017,0.4077849861
1018,0.4491626794
1019,0.4339414041
1020,0.3996983409
1021,0.4121004566
1022,0.4056847545
1023,0.4461139896
1024,0.4142857143
1025,0.4017467249
1026,0.3910891089
1027,0.3797647059
1028,0.3745892662
1029,0.4103122731
1030,0.3767705382
1031,0.3326315789
1032,0.4031044214
1033,0.4058115235
1034,0.3798449612
1035,0.3988895383
1036,0.4094232331
1037,0.3834745763
1038,0.4288895074
1039,0.4033149171
1040,0.3662337662
1041,0.3865271419
1042,0.4206896552
1043,0.4292172258
1044,0.4151329243
1045,0.3923611111
1046,0.4179012346
1047,0.4268204758
1048,0.3210332103
1049,0.4055374593
1050,0.4098461538
1051,0.3911234397
1052,0.3860354597
1053,0.4370179949
1054,0.4117647059
1055,0.4147909968
1056,0.4503713707
1057,0.4206222577
1058,0.4558823529
1059,0.4008307373
1060,0.4374471682
1061,0.3846731781
1062,0.3780487805
1063,0.3751868460
1064,0.4027657736
1065,0.4118970257
1066,0.4510489510
1067,0.4434229137
1068,0.3864541833
1069,0.4275788348
1070,0.3607305936
1071,0.3287514318
1072,0.3363914373
1073,0.4078478002
1074,0.4123730044
1075,0.4086021505
1076,0.4057341442
1077,0.4015632633
1078,0.4005745292
1079,0.3622047244
1080,0.4324866310
1081,0.3936254980
1082,0.3858208955
1083,0.4401622718
1084,0.4527296937
1085,0.3920838184
1086,0.4221198157
1087,0.3754427391
1088,0.3786863271
1089,0.4211764706
1090,0.4166666667
1091,0.4193764666
1092,0.4137931034
1093,0.4025974026
1094,0.3934929405
1095,0.4242424242
1096,0.3967327888
1097,0.4383115442
1098,0.3719582851
1099,0.3920863309
1100,0.4394366197
1101,0.3779735683
1102,0.3804392029
1103,0.4020559680
1104,0.4544221378
1105,0.3757396450
1106,0.4028436019
1107,0.4249084249
1108,0.4091013560
1109,0.4377049180
1110,0.3963838665
1111,0.4146608315
1112,0.3673036093
1113,0.4003488879
1114,0.4288747346
1115,0.4084899095
1116,0.4493927126
1117,0.3994065282
1118,0.4236453202
1119,0.4102320274
1120,0.4020844761
1121,0.3884839650
1122,0.4573110893
1123,0.3969974979
1124,0.4091662065
1125,0.3788150808
1126,0.3848580442
1127,0.4102982638
1128,0.4140127389
1129,0.4367726920
1130,0.3613138686
1131,0.3832199546
1132,0.4483870968
1133,0.4482758621
1134,0.4078483245
1135,0.4259201497
1136,0.4164570607
1137,0.3929777178
1138,0.4085993142
1139,0.3991964938
1140,0.4293520687
1141,0.3630188679
1142,0.4201945396
1143,0.4122042341
1144,0.3712686567
1145,0.4578499613
1146,0.3623595506
1147,0.3802453196
1148,0.4261586803
1149,0.4753651412
1150,0.4053250037
1151,0.3947368421
1152,0.4134841629
1153,0.4226884227
1154,0.4421613394
1155,0.3898257183
1156,0.3993639255
1157,0.4147331787
1158,0.4260532346
1159,0.4033755274
1160,0.3616229624
1161,0.3970588235
1162,0.4106149958
1163,0.4277751974
1164,0.4330518697
1165,0.4285714286
1166,0.4090692124
1167,0.4518479958
1168,0.3951020860
1169,0.4008264463
1170,0.4060606061
1171,0.3785310734
1172,0.2994683993
1173,0.4152604549
1174,0.3603988604
1175,0.4048257373
1176,0.4025559105
1177,0.4096361455
1178,0.4250000000
1179,0.4749034749
1180,0.3745928339
1181,0.4400760938
1182,0.3870779977
1183,0.4032882012
1184,0.4716157205
1185,0.3763919822
1186,0.4007782101
1187,0.4287257019
1188,0.4717868339
1189,0.4494563029
1190,0.4302477184
1191,0.4071385360
1192,0.4251069900
1193,0.4039847393
1194,0.4198895028
1195,0.4060339409
1196,0.4190064795
1197,0.4095970117
1198,0.4175824176
1199,0.3809523810
1200,0.3947163947
1201,0.4150211085
1202,0.4094234709
1203,0.3662049861
1204,0.4197125257
1205,0.4144295302
1206,0.4140926641
1207,0.4257720075
1208,0.3918495298
1209,0.4005695301
1210,0.4209260373
1211,0.3797216700
1212,0.4332596685
1213,0.4324089542
1214,0.4142427282
1215,0.4245249193
1216,0.4036363636
1217,0.4195555556
1218,0.4230322393
1219,0.4140625000
1220,0.4375945537
1221,0.4010152284
1222,0.3730886850
1223,0.4241446094
1224,0.3688663283
1225,0.3891402715
1226,0.4396218307
1227,0.4285714286
1228,0.4157096922
1229,0.3910761155
1230,0.4249201278
1231,0.4300000000
1232,0.3909774436
1233,0.4027081244
1234,0.3909073971
1235,0.3978906999
1236,0.3765182186
1237,0.4225146199
1238,0.4590964591
1239,0.4021739130
1240,0.4056162246
1241,0.4488243430
1242,0.3734590283
1243,0.4249229414
1244,0.3983572895
1245,0.4103019538
1246,0.4165103189
1247,0.4376321353
1248,0.4033045437
1249,0.4025477707
1250,0.4097444089
1251,0.4144996060
1252,0.4138084633
1253,0.4122448980
1254,0.4207589286
1255,0.4003837544
1256,0.4806934594
1257,0.4402654867
1258,0.4391233766
1259,0.4322766571
1260,0.3890577508
1261,0.3964094098
1262,0.5001423285
1263,0.4159877800
1264,0.4060509554
1265,0.4760956175
1266,0.4256348247
1267,0.4456430137
1268,0.4029227557
1269,0.4561688312
1270,0.4409422694
1271,0.4159292035
1272,0.3867438867
1273,0.4297520661
1274,0.4056224900
1275,0.4194711538
1276,0.4227799228
1277,0.4149583239
1278,0.4630454141
1279,0.3961422110
1280,0.3862973761
1281,0.3915057915
1282,0.4092409241
1283,0.4129911788
1284,0.3887011106
1285,0.4087024087
1286,0.4292415950
1287,0.3790322581
1288,0.3866074732
1289,0.3979776092
1290,0.4232096635
1291,0.3691860465
1292,0.4282560706
1293,0.3835091083
1294,0.4318235156
1295,0.3865131579
1296,0.4082802548
1297,0.3499949202
1298,0.4047619048
1299,0.4255933291
1300,0.4137507673
1301,0.4023494860
1302,0.4104702245
1303,0.4147597254
1304,0.3891912908
1305,0.3592814371
1306,0.4390088945
1307,0.3863232682
1308,0.4300850859
1309,0.4190930788
1310,0.4175824176
1311,0.4555708121
1312,0.3908114558
1313,0.3781624501
1314,0.4204025618
1315,0.3630588235
1316,0.4309226933
1317,0.4278481013
1318,0.4003759398
1319,0.3844887883
1320,0.4213250518
1321,0.3571428571
1322,0.4708171206
1323,0.3839743590
1324,0.4148232180
1325,0.3597811218
1326,0.3905529954
1327,0.4624676445
1328,0.3554434030
1329,0.4297945205
1330,0.3837298542
1331,0.4096119929
1332,0.4231119199
1333,0.3658031088
1334,0.3788583510
1335,0.4144337263
1336,0.3982398240
1337,0.3870094723
1338,0.4018126888
1339,0.3922807810
1340,0.3831081081
1341,0.4138381201
1342,0.3706168416
1343,0.3927690306
1344,0.4414062500
1345,0.3896700919
1346,0.4022140221
1347,0.3835978836
1348,0.3283582090
1349,0.3349834983
1350,0.3773500448
1351,0.3909185804
1352,0.4000000000
1353,0.4299128102
1354,0.4222401289
1355,0.4254548666
1356,0.4528508772
1357,0.4652054795
1358,0.4403254973
1359,0.4138525155
1360,0.3497536946
1361,0.3881984747
1362,0.4584615385
1363,0.3991537377
1364,0.3961580283
1365,0.3024691358
1366,0.4102564103
1367,0.3707679604
1368,0.3854748603
1369,0.4752358491
1370,0.4247669774
1371,0.3166666667
1372,0.4111014744
1373,0.3941068140
1374,0.4390665514
1375,0.4124358419
1376,0.4081255771
1377,0.4022435897
1378,0.4161490683
1379,0.3918367347
1380,0.4016941837
1381,0.4205230099
1382,0.4252988816
1383,0.3595263724
1384,0.4120171674
1385,0.4166175604
1386,0.4462705436
1387,0.4041204437
1388,0.3893129771
1389,0.3675213675
1390,0.3916981132
1391,0.3976883562
1392,0.3746556474
1393,0.3903631285
1394,0.4258351893
1395,0.4513441495
1396,0.4492078285
1397,0.3990267640
1398,0.4228456914
1399,0.4132804757
1400,0.4048295455
1401,0.3894806924
1402,0.4047619048
1403,0.3756218905
1404,0.4095631235
1405,0.4139499621
1406,0.4302325581
1407,0.4146948941
1408,0.3750000000
1409,0.4027900797
1410,0.4211144013
1411,0.3349553933
1412,0.4029587240
1413,0.4188963211
1414,0.3772839506
1415,0.3435828877
1416,0.4211875267
1417,0.4471544715
1418,0.4120993479
1419,0.3832335329
1420,0.3884297521
1421,0.4000949968
1422,0.4356636272
1423,0.4262574595
1424,0.4238317757
1425,0.4254861932
1426,0.3826491516
1427,0.4240837696
1428,0.4068514242
1429,0.4368932039
1430,0.3970251716
1431,0.4135802469
1432,0.4038461538
1433,0.4189291101
1434,0.4057486631
1435,0.4017094017
1436,0.4189544942
1437,0.4403797822
1438,0.4163027656
1439,0.3521985198
1440,0.4362684729
1441,0.4064563463
1442,0.3935018051
1443,0.3692748759
1444,0.3847601129
1445,0.4092307692
1446,0.4256410256
1447,0.4054054054
1448,0.4014637629
1449,0.4255528256
1450,0.3963810174
1451,0.4060509554
1452,0.3904528764
1453,0.3789267016
1454,0.4023255814
1455,0.4210032189
1456,0.4031520081
1457,0.4297619048
1458,0.4145496536
1459,0.3923076923
1460,0.4020467836
1461,0.4162812211
1462,0.3760917031
1463,0.4078325456
1464,0.4226750261
1465,0.4489795918
1466,0.4007290401
1467,0.3963636364
1468,0.4243697479
1469,0.4041030534
1470,0.3765432099
1471,0.4373913043
1472,0.4143518519
1473,0.4108474576
1474,0.4116934262
1475,0.3761755486
1476,0.3668831169
1477,0.3988549618
1478,0.4161499056
1479,0.4218588284
1480,0.4320745463
1481,0.4291666667
1482,0.4153726708
1483,0.3566433566
1484,0.3666070973
1485,0.4022809746
1486,0.3893704007
1487,0.4229968783
1488,0.3967637540
1489,0.4101694915
1490,0.4589816124
1491,0.4096385542
1492,0.3982558140
1493,0.3728813559
1494,0.3843834312
1495,0.3544303797
1496,0.3988711195
1497,0.3859797297
